order_date,week_day,order_item_delivery_address_region,order_total_paid_per_day
2020-01-01,Wednesday,corsica,420.05
2020-01-01,Wednesday,occitania,9791.0599999999849
2020-01-01,Wednesday,brittany,3140.09
2020-01-01,Wednesday,grand est,6760.7899999999936
2020-01-01,Wednesday,new aquitaine,3907.6999999999971
2020-01-01,Wednesday,provence-alpes-cote d'azur,6910.3799999999947
2020-01-01,Wednesday,centre-val de loire,1448.7900000000002
2020-01-01,Wednesday,bourgogne-franche-comte,2898.1000000000004
2020-01-01,Wednesday,hauts-de-france,4670.2399999999971
2020-01-01,Wednesday,auvergne-rhone-alpes,11240.639999999967
2020-01-01,Wednesday,ile-de-france,39609.200000000026
2020-01-01,Wednesday,pays de la loire,3787.9599999999991
2020-01-01,Wednesday,normandy,2630.22
2020-01-01,Wednesday,nord-pas-de-calais and picardy,6237.8099999999922
2020-01-01,Wednesday,nouvelle-aquitaine,1711.5900000000006
2020-01-01,Wednesday,centre-loire valley,2010.5500000000009
2020-01-02,Thursday,guadeloupe,200.56
2020-01-02,Thursday,normandy,10439.269999999982
2020-01-02,Thursday,new aquitaine,13693.209999999981
2020-01-02,Thursday,brittany,9025.2599999999875
2020-01-02,Thursday,ile-de-france,80147.720000000219
2020-01-02,Thursday,nouvelle-aquitaine,10555.229999999998
2020-01-02,Thursday,auvergne-rhone-alpes,37081.570000000094
2020-01-02,Thursday,centre-val de loire,1749.98
2020-01-02,Thursday,corsica,710.36000000000013
2020-01-02,Thursday,hauts-de-france,11154.079999999994
2020-01-02,Thursday,bourgogne-franche-comte,7403.2999999999884
2020-01-02,Thursday,pays de la loire,10941.889999999981
2020-01-02,Thursday,grand est,29176.370000000112
2020-01-02,Thursday,provence-alpes-cote d'azur,16533.529999999952
2020-01-02,Thursday,centre-loire valley,4604.7999999999929
2020-01-02,Thursday,nord-pas-de-calais and picardy,15481.639999999978
2020-01-02,Thursday,occitania,23206.89000000005
2020-01-03,Friday,corsica,514.20999999999992
